sample_id,cell_type,condition,n_cells,prop,padj
unin_hto,Alveolar_Macrophage,unin_hto,961,0.210699408024556,
unin3,Alveolar_Macrophage,unin_hto,0,0,
unin_hto,B_cell,unin_hto,6,0.00131550098662574,
unin3,B_cell,unin_hto,0,0,
unin_hto,Dendritic_cell,unin_hto,4,0.000877000657750493,
unin3,Dendritic_cell,unin_hto,0,0,
unin_hto,Interstitial_Macrophage,unin_hto,3567,0.782065336549002,
unin3,Interstitial_Macrophage,unin_hto,0,0,
unin_hto,Monocyte,unin_hto,16,0.00350800263100197,
unin3,Monocyte,unin_hto,0,0,
unin_hto,Neutrophil,unin_hto,7,0.00153475115106336,
unin3,Neutrophil,unin_hto,0,0,
unin_hto,NK_cell,unin_hto,0,0,
unin3,NK_cell,unin_hto,0,0,
unin_hto,T_cell,unin_hto,0,0,
unin3,T_cell,unin_hto,0,0,
unin_hto,Alveolar_Macrophage,unin3,0,0,
unin3,Alveolar_Macrophage,unin3,2191,0.378019323671498,
unin_hto,B_cell,unin3,0,0,
unin3,B_cell,unin3,16,0.00276052449965493,
unin_hto,Dendritic_cell,unin3,0,0,
unin3,Dendritic_cell,unin3,32,0.00552104899930987,
unin_hto,Interstitial_Macrophage,unin3,0,0,
unin3,Interstitial_Macrophage,unin3,3520,0.607315389924086,
unin_hto,Monocyte,unin3,0,0,
unin3,Monocyte,unin3,29,0.00500345065562457,
unin_hto,Neutrophil,unin3,0,0,
unin3,Neutrophil,unin3,3,0.0005175983436853,
unin_hto,NK_cell,unin3,0,0,
unin3,NK_cell,unin3,3,0.0005175983436853,
unin_hto,T_cell,unin3,0,0,
unin3,T_cell,unin3,2,0.000345065562456867,
